"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","D. Knox","TE","BUF","DET","2022-11-24T17:30:00Z","38.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","D. Singletary","RB","BUF","DET","2022-11-24T17:30:00Z","14.5","over","-115","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","G. Davis","WR","BUF","DET","2022-11-24T17:30:00Z","58.5","over","-124","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","I. McKenzie","WR","BUF","DET","2022-11-24T17:30:00Z","22.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","S. Diggs","WR","BUF","DET","2022-11-24T17:30:00Z","91.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","A. St. Brown","WR","DET","BUF","2022-11-24T17:30:00Z","76.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","B. Wright","TE","DET","BUF","2022-11-24T17:30:00Z","13.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","D. Swift","RB","DET","BUF","2022-11-24T17:30:00Z","18.5","over","-121","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","D. Chark Jr.","WR","DET","BUF","2022-11-24T17:30:00Z","32.5","over","-107","undefined","null","null","under","-127","undefined","null","null"
"recv_yd","C. Lamb","WR","DAL","NYG","2022-11-24T21:30:00Z","75.5","over","-120","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","D. Schultz","TE","DAL","NYG","2022-11-24T21:30:00Z","39.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","E. Elliott","RB","DAL","NYG","2022-11-24T21:30:00Z","5.5","over","-115","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","J. Ferguson","TE","DAL","NYG","2022-11-24T21:30:00Z","7.5","over","100","undefined","null","null","under","-130","undefined","null","null"
"recv_yd","M. Gallup","WR","DAL","NYG","2022-11-24T21:30:00Z","40.5","over","-115","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","N. Brown","WR","DAL","NYG","2022-11-24T21:30:00Z","27.5","over","-112","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","P. Hendershot","TE","DAL","NYG","2022-11-24T21:30:00Z","5.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","T. Pollard","RB","DAL","NYG","2022-11-24T21:30:00Z","18.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","D. Slayton","WR","NYG","DAL","2022-11-24T21:30:00Z","48.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","L. Cager","TE","NYG","DAL","2022-11-24T21:30:00Z","14.5","over","-135","undefined","null","null","under","102","undefined","null","null"
"recv_yd","S. Barkley","RB","NYG","DAL","2022-11-24T21:30:00Z","22.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","A. Thielen","WR","MIN","NE","2022-11-25T01:20:00Z","44.5","over","-114","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","D. Cook","RB","MIN","NE","2022-11-25T01:20:00Z","13.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","J. Jefferson","WR","MIN","NE","2022-11-25T01:20:00Z","87.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","K. Osborn","WR","MIN","NE","2022-11-25T01:20:00Z","24.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","T. Hockenson","TE","MIN","NE","2022-11-25T01:20:00Z","44.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","H. Henry","TE","NE","MIN","2022-11-25T01:20:00Z","23.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","J. Meyers","WR","NE","MIN","2022-11-25T01:20:00Z","54.5","over","-124","undefined","null","null","under","-109","undefined","null","null"
"recv_yd","R. Stevenson","RB","NE","MIN","2022-11-25T01:20:00Z","28.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","D. Moore","WR","CAR","DEN","2022-11-27T18:00:00Z","46.5","over","-114","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","T. Marshall Jr.","WR","CAR","DEN","2022-11-27T18:00:00Z","37.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
