,player,team,beta_yards
0,A.Green,ARI,15.758782992352902
1,E.Benjamin,ARI,14.33827883513425
2,G.Dortch,ARI,35.34698245779136
3,J.Conner,ARI,26.141655187650258
4,M.Brown,ARI,53.64024544603514
5,Z.Ertz,ARI,44.04386355426967
6,A.Baccellia,ARI,10.842333570531089
7,S.Anderson,ARI,4.83670724119363
8,R.Moore,ARI,50.54847930038063
9,T.McBride,ARI,33.37540228262167
10,D.Hopkins,ARI,67.83091934481459
11,K.Ingram,ARI,4.548942117355982
12,R.Anderson,ARI,30.89082670261602
13,M.Williams,ARI,5.690388851583036
14,A.Firkser,ATL,10.800718785181667
15,A.Williams,ATL,7.808221854647931
16,C.Patterson,ATL,21.76909777350313
17,D.London,ATL,58.635827706508884
18,K.Hodge,ATL,5.214556859473263
19,K.Pitts,ATL,45.78986661453986
20,O.Zaccheaus,ATL,21.638273285222027
21,P.Hesse,ATL,5.955473966441921
22,B.Edwards,ATL,5.212884192638597
23,T.Allgeier,ATL,11.301190817158325
24,K.Smith,ATL,4.548942117355982
25,M.Pruitt,ATL,17.02190430616979
26,D.Byrd,ATL,13.88655152668466
27,C.Huntley,ATL,4.672596161739815
28,D.Duvernay,BAL,20.112121197570602
29,D.Robinson,BAL,28.17005321160173
30,J.Hill,BAL,5.52627777212922
31,K.Drake,BAL,13.706391170893061
32,M.Andrews,BAL,53.89881418458321
33,P.Ricard,BAL,5.212884192638597
34,R.Bateman,BAL,36.26103947395751
35,I.Likely,BAL,17.873625680117758
36,T.Wallace,BAL,6.51354624091468
37,J.Dobbins,BAL,4.548942117355982
38,J.Oliver,BAL,15.593999804139143
39,J.Proche,BAL,4.894250375727964
40,D.Jackson,BAL,18.625118872349482
41,M.Davis,BAL,4.992902645485114
42,S.Watkins,BAL,9.395617796815262
43,G.Edwards,BAL,4.548942117355982
44,D.Knox,BUF,42.00075427502715
45,D.Singletary,BUF,15.918575839547008
46,G.Davis,BUF,48.02784018791304
47,I.McKenzie,BUF,29.03839128352275
48,S.Diggs,BUF,53.5005316043327
49,Z.Moss,BUF,4.548942117355982
50,J.Kumerow,BUF,8.607130401896404
51,Q.Morris,BUF,4.672596161739815
52,R.Gilliam,BUF,5.5592046664944155
53,J.Cook,BUF,18.541008801781107
54,K.Shakir,BUF,4.992902645485114
55,I.Hodgins,BUF,43.766543017502244
56,N.Hines,BUF,22.344633448229114
57,C.McCaffrey,CAR,37.15057138159263
58,D.Moore,CAR,59.1510168323321
59,I.Thomas,CAR,11.758270339802445
60,S.Smith,CAR,23.240169162463378
61,T.Tremble,CAR,13.535184070920767
62,G.Ricci,CAR,9.590080885320925
63,S.Sullivan,CAR,4.548942117355982
64,L.Shenault,CAR,17.033242483885182
65,T.Marshall,CAR,30.201582789431605
66,C.Hubbard,CAR,16.32478259974926
67,D.Foreman,CAR,4.548942117355982
68,R.Blackshear,CAR,7.549927916010955
69,B.Pringle,CHI,10.03261174988743
70,D.Montgomery,CHI,22.168209878572192
71,D.Mooney,CHI,29.49011514319126
72,D.Pettis,CHI,13.155695038881241
73,E.St. Brown,CHI,22.634409873863063
74,K.Herbert,CHI,6.0637501548668995
75,R.Griffin,CHI,4.548942117355982
76,C.Kmet,CHI,35.29981626599979
77,T.Ebner,CHI,4.548942117355982
78,T.Wesco,CHI,4.548942117355982
79,V.Jones,CHI,10.964829864635483
80,N.Harry,CHI,12.497233762399294
81,C.Claypool,CHI,42.96772990602273
82,H.Hurst,CIN,36.4709176335972
83,J.Chase,CIN,79.0884727697329
84,J.Mixon,CIN,31.922420128009303
85,Mi.Thomas,CIN,5.4847746514230415
86,S.Perine,CIN,23.884496409241233
87,T.Boyd,CIN,27.581949858934923
88,T.Higgins,CIN,56.066816684401125
89,M.Wilcox,CIN,20.304839565682567
90,C.Evans,CIN,5.584404076761133
91,T.Irwin,CIN,23.626680037343533
92,T.Taylor,CIN,9.821956342252589
93,D.Asiasi,CIN,5.700796952696071
94,A.Cooper,CLE,58.915255522837356
95,A.Schwartz,CLE,10.259481232970835
96,D.Njoku,CLE,31.811578530272417
97,D.Peoples-Jones,CLE,37.704734366613714
98,H.Bryant,CLE,11.978500246472795
99,K.Hunt,CLE,13.010793984297024
100,N.Chubb,CLE,8.239883981404088
101,Dav.Bell,CLE,15.671443128070717
102,D.Johnson,CLE,4.894250375727964
103,M.Woods,CLE,5.058361455181779
104,P.Brown,CLE,17.960392971691707
105,C.Lamb,DAL,75.16432593480276
106,D.Schultz,DAL,47.18403896866785
107,E.Elliott,DAL,10.193680680015841
108,N.Brown,DAL,27.543320884413706
109,T.Pollard,DAL,30.042768132462083
110,J.Ferguson,DAL,9.85913292125055
111,J.Tolbert,DAL,4.83670724119363
112,P.Hendershot,DAL,4.788877135823399
113,M.Gallup,DAL,42.45350084633526
114,S.McKeon,DAL,4.548942117355982
115,M.Davis,DAL,9.63679224823695
