"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","A. Pierce","WR","IND","PIT","2022-11-29T01:15:00Z","35.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","J. Taylor","RB","IND","PIT","2022-11-29T01:15:00Z","13.5","over","-131","undefined","null","null","under","-103","undefined","null","null"
"recv_yd","M. Pittman Jr.","WR","IND","PIT","2022-11-29T01:15:00Z","67.5","over","-109","undefined","null","null","under","-124","undefined","null","null"
"recv_yd","M. Alie-Cox","TE","IND","PIT","2022-11-29T01:15:00Z","13.5","over","-118","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","P. Campbell","WR","IND","PIT","2022-11-29T01:15:00Z","48.5","over","-114","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","D. Johnson","WR","PIT","IND","2022-11-29T01:15:00Z","45.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","G. Pickens","WR","PIT","IND","2022-11-29T01:15:00Z","43.5","over","-115","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","G. Olszewski","WR","PIT","IND","2022-11-29T01:15:00Z","12.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","N. Harris","RB","PIT","IND","2022-11-29T01:15:00Z","17.5","over","-117","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","P. Freiermuth","TE","PIT","IND","2022-11-29T01:15:00Z","48.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","S. Sims","WR","PIT","IND","2022-11-29T01:15:00Z","9.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","Z. Gentry","TE","PIT","IND","2022-11-29T01:15:00Z","7.5","over","-105","undefined","null","null","under","-125","undefined","null","null"
