"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","C. Kirk","WR","JAX","NYJ","2022-12-23T01:15:00Z","52.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","E. Engram","TE","JAX","NYJ","2022-12-23T01:15:00Z","48.5","over","-110","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","M. Jones Jr.","WR","JAX","NYJ","2022-12-23T01:15:00Z","18.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","Z. Jones","WR","JAX","NYJ","2022-12-23T01:15:00Z","51.5","over","-111","undefined","null","null","under","-121","undefined","null","null"
